tamper_score,has_signature,has_logo,has_qr,label
0.3750572799628002,1,0,1,0
0.5383282805817453,0,0,1,1
0.46541141414711606,0,1,0,1
0.13512431399435512,1,1,1,0
0.18009977094673527,0,0,0,0
0.5241320672377571,1,1,1,1
0.0031591827393448344,0,0,0,1
0.49273705102965976,0,0,1,1
0.4782416572512277,1,0,1,1
0.28076097170623243,1,0,0,0
0.18181945609158812,1,0,0,0
0.167055367260464,0,0,1,1
0.15292175259247476,1,1,1,0
0.2670457835295879,0,0,0,1
0.30272895537477196,1,1,1,0
0.33209841124469547,1,0,0,1
0.5973001700606356,0,1,0,1
0.4755971515282518,0,0,0,1
0.3733075376646976,1,1,0,1
0.5933760886091309,0,0,1,1
0.12918521894135937,1,0,1,1
0.09612722031470673,1,0,1,1
0.36752376256381847,1,0,1,1
0.02636520477683002,1,1,0,0
0.021408167264157684,1,1,1,0
0.30893329216282217,0,0,0,1
0.27972361519517347,0,0,0,1
0.5503006639157113,1,0,0,1
0.37753575269460626,1,0,1,1
0.30847058795970833,1,0,0,1
0.2981240612361025,0,1,1,1
0.14850895321639848,0,1,0,1
0.007076415325503516,0,1,1,0
0.11544128639118638,0,0,1,1
0.4152192725291035,0,0,0,1
0.12036403439219712,1,0,0,1
0.22172178636132403,1,0,0,1
0.0022405452312455718,0,1,0,1
0.49802863788104734,0,1,1,0
0.09267664863686391,1,0,0,0
0.16055958273827126,0,0,1,1
0.5281992923884972,0,1,1,1
0.3058744859210539,0,1,0,1
0.5082901478195215,1,1,0,0
0.3838303001655157,1,0,1,1
0.4450625684171143,0,0,0,0
0.05489736303782739,0,0,1,0
0.32468629282589323,0,1,0,0
0.30466334178021,0,0,1,1
0.5228036260157284,1,0,1,0
0.21675843540849454,1,0,1,1
0.35891044032432784,1,0,0,1
0.03555098540730217,0,1,0,0
0.2325790806664372,0,0,1,1
0.193821807754924,0,0,0,1
0.09011983744227112,1,1,0,0
0.4898028622914454,0,1,1,1
0.22766770293018745,0,1,1,0
0.587248730646733,1,1,0,1
0.35399501580636616,0,0,0,1
0.36303375229791074,0,0,1,1
0.3827979484729993,0,1,1,1
0.405870146287673,0,1,0,1
0.09047281150102122,0,0,1,0
0.2641880803129125,1,1,1,0
0.143738377097714,0,0,1,1
0.24149897886238897,1,0,1,1
0.05802245635904737,1,1,0,0
0.5806968306292928,0,0,1,1
0.12900242241352802,1,1,0,0
0.40305909756677094,1,0,0,1
0.18025204888744217,0,0,1,1
0.5244462156897026,0,0,0,1
0.39732884300307225,0,1,0,1
0.07896948948498343,0,1,1,1
0.5070445925247318,0,0,0,1
0.5669689026869877,1,1,0,0
0.5423500729175561,1,0,1,1
0.34183148871556635,0,1,1,0
0.08727597225655614,0,0,0,1
0.11547809698099942,1,0,1,1
0.5567434108467146,1,1,0,1
0.33139589260035823,0,1,0,1
0.10833149906934698,1,0,0,0
0.530434136517882,1,0,1,1
0.38494302313348844,1,1,0,1
0.34181656468428473,1,0,1,1
0.22577270167795205,1,1,0,0
0.2465731692942779,0,1,1,1
0.14369352760910692,1,0,1,1
0.02283437201474345,0,0,0,1
0.5257312848655625,0,1,0,1
0.28063813008845767,0,1,1,1
0.32858111952824115,0,0,0,1
0.19329798586813507,1,1,1,0
0.4507949519129567,0,1,1,1
0.015118122481056217,0,0,1,0
0.22331116353912236,0,1,1,1
0.01821017663046698,0,1,0,0
0.0737352613230056,0,1,1,1
0.5802889412384206,0,1,0,1
0.3946564380231086,0,1,0,1
0.2569321478336888,0,1,0,1
0.3142440647462882,1,0,1,1
0.5236855251388646,0,1,0,1
0.20652640019761573,0,1,1,0
0.3541745893738288,1,0,0,1
0.4102106240037262,0,0,0,1
0.21324826621410722,0,1,1,1
0.3114590918975941,0,1,1,1
0.4591484299671135,1,1,0,1
0.5455075883943301,0,1,0,1
0.09063736684608929,1,0,1,1
0.5600516353844571,1,1,1,0
0.0031073194892592857,0,0,1,0
0.45178650215865235,0,0,0,1
0.48631609819034705,0,0,1,1
0.08205843092554892,0,0,1,0
0.25134219054791107,0,0,0,1
0.4891537667970274,0,1,1,1
0.008562713810766365,1,0,1,1
0.3770771687197744,0,1,1,1
0.4758141948588204,1,1,1,1
0.3078021496933251,0,0,0,1
0.43550965233065225,0,0,1,1
0.13585408961828643,0,1,1,0
0.1191126887956037,0,1,1,0
0.21787617033021095,0,0,1,0
0.10764361654028791,0,1,1,0
0.20763686346748705,0,0,0,0
0.5688744368464889,1,0,1,1
0.34399963056667254,1,1,0,1
0.2040408404525039,1,0,1,1
0.16291477188527118,0,0,1,1
0.5712236944245134,0,0,1,1
0.26668692578826797,1,0,0,1
0.5882368505283536,0,0,1,1
